,Date,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
60,Mar 25 2020,9785,4545,22692,0.43120923673541334,0.20029085140137493,0.07319204722421133,476376,50817,1.2352512214686793,21804,2777,64.11482989403235,65
61,Mar 26 2020,9766,4450,22088,0.44214052879391524,0.20146685983339369,0.07658239477199594,539336,62960,1.2389554676584607,24811,3007,65.25846346904629,62
62,Mar 27 2020,9290,4012,20782,0.44702146087960737,0.19305167933788855,0.08163432500750811,603736,64400,1.02287166454892,28329,3518,69.96724205242612,59
63,Mar 28 2020,8774,3928,19785,0.44346727318675766,0.1985342431134698,0.07373356519369309,671344,67608,1.0498136645962732,32008,3679,61.78718906860011,67
64,Mar 29 2020,8711,4130,19597,0.44450681226718375,0.21074654283818953,0.06637052802732213,730921,59577,0.8812122825701101,35481,3473,53.197847183491355,62
65,Mar 30 2020,9952,4553,22849,0.43555516652807563,0.19926473806293493,0.07596634132289491,795560,64639,1.084965674673112,39645,4164,60.49800892359175,56
66,Mar 31 2020,9694,4403,22225,0.4361754780652418,0.19811023622047244,0.08446976582168662,871976,76416,1.1821965067528892,44489,4844,60.377838817624095,50
67,Apr 01 2020,9067,4355,21096,0.42979711793704967,0.20643723928706864,0.07277515404156817,948197,76221,0.9974481783919598,50043,5554,61.89360290016732,49
68,Apr 02 2020,8693,3922,19393,0.4482545248285464,0.20223792089929357,0.07991336205124931,1029598,81401,1.067960273415463,56348,6305,62.44883993307307,46
69,Apr 03 2020,9052,4361,21123,0.4285376130284524,0.2064574160867301,0.0776909225877762,1112752,83154,1.0215353619734402,62333,5985,66.2353123257111,45
70,Apr 04 2020,8995,4113,20585,0.4369686665047365,0.1998056837503036,0.07956999074574904,1193128,80376,0.9665921062125694,68174,5841,58.86787785833798,47
71,Apr 05 2020,9401,4656,22330,0.42100313479623824,0.20850873264666367,0.07143491456356804,1264846,71718,0.8922812779934308,73195,5021,51.23443390964863,45
72,Apr 06 2020,9425,4007,21384,0.4407500935278713,0.18738309016086793,0.08480889417511152,1337518,72672,1.0133020998912408,79027,5832,61.0577300613497,41
73,Apr 07 2020,9402,3889,21038,0.44690559939157715,0.18485597490255729,0.08924851439594282,1414391,76873,1.0578076838397181,86929,7902,62.72799498047964,38
74,Apr 08 2020,10385,4423,23679,0.4385742641158833,0.1867899826850796,0.08139429755354365,1498166,83775,1.0897844496767395,93664,6735,64.01011991076408,37
75,Apr 09 2020,9624,3987,21643,0.4446703322090283,0.18421660583098462,0.08481064172701529,1584791,86625,1.0340196956132497,101293,7629,64.50185164528722,38
76,Apr 10 2020,9728,4161,21863,0.44495265974477427,0.1903215478205187,0.09029166772201777,1672449,87658,1.011924963924964,108565,7272,68.67620747350809,38
77,Apr 11 2020,9660,4235,22502,0.4292951737623322,0.18820549284508042,0.08079237348423644,1749169,76720,0.875219603458897,114634,6069,61.94583379810374,39
78,Apr 12 2020,10311,4417,23389,0.4408482620035059,0.18884945914746248,0.08675594593669386,1845951,96782,1.2614963503649634,120365,5731,43.601793084216396,38
79,Apr 13 2020,11076,5351,27250,0.4064587155963303,0.19636697247706422,0.06971262906721308,1915545,69594,0.7190799942138001,126112,5747,60.70288901282766,38
80,Apr 14 2020,12390,5002,29135,0.4252617127166638,0.171683542131457,0.08326395689536781,1985472,69927,1.0047848952495906,133011,6899,65.05501952035694,37
81,Apr 15 2020,10452,4480,23727,0.44051081046908586,0.18881443081721247,0.08050125611060707,2066301,80829,1.1559054442490024,141323,8312,68.22344394868935,38
82,Apr 16 2020,13212,6048,29632,0.4458693304535637,0.2041036717062635,0.07611593869262295,2163013,96712,1.196501255737421,148606,7283,70.05109313998885,40
83,Apr 17 2020,10415,4600,23581,0.44166914040965183,0.19507230397353803,0.08127539025282085,2250737,87724,0.9070642733063116,157497,8891,75.8318878973787,37
84,Apr 18 2020,9452,4608,21796,0.4336575518443751,0.21141493852082952,0.07103834678783232,2324265,73528,0.8381742738589212,163968,6471,71.51504740658115,38
85,Apr 19 2020,10280,4904,24373,0.4217781971854101,0.20120625282074425,0.07274731858007848,2404790,80525,1.0951610270917203,168538,4570,59.401201896263245,38
86,Apr 20 2020,12339,5856,29042,0.4248674333723573,0.20163900557812822,0.06998309010238536,2478129,73339,0.9107606333436821,173981,5443,70.92477691020635,35
87,Apr 21 2020,11415,5581,27314,0.4179175514388226,0.20432745112396572,0.07109543323693107,2553379,75250,1.026057077407655,181138,7157,71.7757585052984,34
88,Apr 22 2020,11462,4979,25961,0.44150841647086014,0.19178768152228343,0.08077535870017684,2630185,76806,1.0206777408637875,187893,6755,72.86317902955939,34
89,Apr 23 2020,12030,5218,27114,0.4436822305819872,0.19244670649848786,0.08053366371690383,2719198,89013,1.1589328958675102,194743,6850,73.53569157836029,34
90,Apr 24 2020,9011,4143,20740,0.4344744455159113,0.1997589199614272,0.0749461928268592,2806138,86940,0.9767112668935998,201417,6674,83.04782208588956,35
91,Apr 25 2020,9796,5007,23679,0.41369990286751973,0.21145318636766755,0.06568304179744905,2890259,84121,0.9675753393144697,206995,5578,78.36470161740101,32
92,Apr 26 2020,12385,5946,28926,0.4281615155915094,0.20555901265297655,0.0670756513515234,2963206,72947,0.867167532482971,210878,3883,66.6395398773006,34
93,Apr 27 2020,15053,5851,33287,0.4522185838315258,0.17577432631357587,0.0811812668291316,3031910,68704,0.9418344825695368,215527,4649,75.72440881204685,32
94,Apr 28 2020,12559,5186,28157,0.4460347338139717,0.18418155343253897,0.08103164134422676,3107209,75299,1.095991499767117,221990,6463,77.12466815393194,31
95,Apr 29 2020,11796,5181,26523,0.44474606944915734,0.19533989367718585,0.07974030766673905,3184255,77046,1.0232008393205754,228758,6768,78.18877579475739,29
96,Apr 30 2020,12612,5361,28338,0.44505610840567433,0.1891806055473216,0.07877225625311203,3267936,83681,1.0861173844196974,234720,5962,83.45174288901283,30
97,May 01 2020,11896,4755,26201,0.45402847219571774,0.18148162283882294,0.0874145292228609,3354984,87048,1.040236134845425,239897,5177,94.91405744562186,30
98,May 02 2020,8820,4336,21092,0.41816802579176937,0.2055755736772236,0.0695121184457146,3435571,80587,0.9257765830346476,245222,5325,92.44659230340211,28
99,May 03 2020,10364,5491,25102,0.41287546809019204,0.2187475101585531,0.06245592556115943,3513207,77636,0.9633811905145991,248675,3453,78.66387618516454,28
100,May 04 2020,12467,5261,27776,0.4488407258064516,0.18940812211981567,0.07418762437972365,3589284,76077,0.9799191096913803,252803,4128,85.16363636363636,26
101,May 05 2020,11192,4759,24813,0.4510538830451779,0.19179462378591866,0.08243435267082205,3669273,79989,1.0514215860246856,258674,5871,85.63278304517567,26
102,May 06 2020,9040,4347,20676,0.4372218997871929,0.21024376088218225,0.07290741471212643,3759295,90022,1.1254297465901562,265343,6669,88.91844116006692,23
